Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
1640qcpar23_S138_L002_R1_001_fastq_gz	1640qcpar23_S138_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	57367.0	8.2 Mbp	0.0	35-150	48.0	14.17539700524692	144.22026600658916	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1640qcpar23_S138_L002_R2_001_fastq_gz	1640qcpar23_S138_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	57367.0	8.3 Mbp	0.0	35-150	48.0	17.231160771872332	144.3623686091307	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
1640qcpar23_S138_L003_R1_001_fastq_gz	1640qcpar23_S138_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	62634.0	9 Mbp	0.0	35-150	48.0	13.907781716000894	144.34090110802438	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1640qcpar23_S138_L003_R2_001_fastq_gz	1640qcpar23_S138_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	62634.0	9 Mbp	0.0	35-150	48.0	16.594820704409745	144.4499313471916	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1640qcpar23_S138_L004_R1_001_fastq_gz	1640qcpar23_S138_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	58655.0	8.4 Mbp	0.0	35-150	48.0	14.242605063506947	144.08573864120706	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1640qcpar23_S138_L004_R2_001_fastq_gz	1640qcpar23_S138_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	58655.0	8.4 Mbp	0.0	35-150	48.0	17.290938538913988	144.18596880061375	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
2412qcpar23_S136_L001_R1_001_fastq_gz	2412qcpar23_S136_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	114338.0	15.8 Mbp	0.0	35-150	52.0	11.640924277143206	138.31761094299358	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
2412qcpar23_S136_L001_R2_001_fastq_gz	2412qcpar23_S136_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	114338.0	15.8 Mbp	0.0	35-150	52.0	14.440518462803267	138.65612482289353	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
2412qcpar23_S136_L002_R1_001_fastq_gz	2412qcpar23_S136_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	107201.0	14.8 Mbp	0.0	35-150	52.0	11.76761410807735	138.21662111360902	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
2412qcpar23_S136_L002_R2_001_fastq_gz	2412qcpar23_S136_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	107201.0	14.8 Mbp	0.0	35-150	52.0	14.872062760608577	138.52777492747268	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
2412qcpar23_S136_L003_R1_001_fastq_gz	2412qcpar23_S136_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	117523.0	16.2 Mbp	0.0	35-150	52.0	11.602835189707546	138.28146830833114	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
2412qcpar23_S136_L003_R2_001_fastq_gz	2412qcpar23_S136_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	117523.0	16.3 Mbp	0.0	35-150	52.0	14.197220969512351	138.5314704355743	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
2412qcpar23_S136_L004_R1_001_fastq_gz	2412qcpar23_S136_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	110682.0	15.3 Mbp	0.0	35-150	52.0	11.686633779657035	138.2917186173	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
2412qcpar23_S136_L004_R2_001_fastq_gz	2412qcpar23_S136_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	110682.0	15.3 Mbp	0.0	35-150	52.0	14.525397083536618	138.6283135469182	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3453par23_S97_L001_R1_001_fastq_gz	3453par23_S97_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	732909.0	102.6 Mbp	0.0	35-150	50.0	9.068520102768558	139.61605056016504	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3453par23_S97_L001_R2_001_fastq_gz	3453par23_S97_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	732909.0	102.7 Mbp	0.0	35-150	50.0	10.98458335209419	139.7889628862519	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3453par23_S97_L002_R1_001_fastq_gz	3453par23_S97_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	687952.0	96.4 Mbp	0.0	35-150	50.0	9.190466776751867	139.76639939995815	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3453par23_S97_L002_R2_001_fastq_gz	3453par23_S97_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	687952.0	96.5 Mbp	0.0	35-150	50.0	11.37303183943066	139.95823109751842	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3453par23_S97_L003_R1_001_fastq_gz	3453par23_S97_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	752665.0	105.4 Mbp	0.0	35-150	50.0	9.007858741936985	139.6956574305966	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3453par23_S97_L003_R2_001_fastq_gz	3453par23_S97_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	752665.0	105.5 Mbp	0.0	35-150	50.0	10.700112267741957	139.84978177542465	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3453par23_S97_L004_R1_001_fastq_gz	3453par23_S97_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	707137.0	99 Mbp	0.0	35-150	50.0	9.112237091256716	139.63123411729268	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3453par23_S97_L004_R2_001_fastq_gz	3453par23_S97_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	707137.0	99.1 Mbp	0.0	35-150	50.0	11.228093000366265	139.8143669472818	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3454par23_S98_L001_R1_001_fastq_gz	3454par23_S98_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	266392.0	39 Mbp	0.0	35-150	52.0	9.725517282801285	146.4057178894261	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3454par23_S98_L001_R2_001_fastq_gz	3454par23_S98_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	266392.0	39.1 Mbp	0.0	35-150	52.0	12.807817051563111	146.4780849274753	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3454par23_S98_L002_R1_001_fastq_gz	3454par23_S98_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	249986.0	36.7 Mbp	0.0	35-150	52.0	9.958557679230037	146.46319393886057	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3454par23_S98_L002_R2_001_fastq_gz	3454par23_S98_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	249986.0	36.7 Mbp	0.0	35-150	52.0	13.124334962757914	146.55673917739392	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3454par23_S98_L003_R1_001_fastq_gz	3454par23_S98_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	275663.0	40.4 Mbp	0.0	35-150	52.0	9.65998338551057	146.43600338093978	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3454par23_S98_L003_R2_001_fastq_gz	3454par23_S98_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	275663.0	40.4 Mbp	0.0	35-150	52.0	12.431120607408321	146.4993923740219	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3454par23_S98_L004_R1_001_fastq_gz	3454par23_S98_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	257267.0	37.7 Mbp	0.0	35-150	52.0	9.871456502388568	146.44732515246807	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3454par23_S98_L004_R2_001_fastq_gz	3454par23_S98_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	257267.0	37.7 Mbp	0.0	35-150	52.0	13.059972713173472	146.52984642414302	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3455par23_S99_L001_R1_001_fastq_gz	3455par23_S99_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	250725.0	36.6 Mbp	0.0	35-150	52.0	10.9574234719314	145.9199720809652	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3455par23_S99_L001_R2_001_fastq_gz	3455par23_S99_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	250725.0	36.7 Mbp	0.0	35-150	52.0	12.907368630970186	145.98624389271114	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3455par23_S99_L002_R1_001_fastq_gz	3455par23_S99_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	237803.0	34.8 Mbp	0.0	35-150	52.0	11.063779683183139	145.94433207318662	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3455par23_S99_L002_R2_001_fastq_gz	3455par23_S99_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	237803.0	34.8 Mbp	0.0	35-150	52.0	13.184863100970132	146.0076744195826	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3455par23_S99_L003_R1_001_fastq_gz	3455par23_S99_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	259045.0	37.9 Mbp	0.0	35-150	52.0	10.851396475515838	145.96714084425486	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3455par23_S99_L003_R2_001_fastq_gz	3455par23_S99_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	259045.0	37.9 Mbp	0.0	35-150	52.0	12.559593892952961	146.00448184678336	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3455par23_S99_L004_R1_001_fastq_gz	3455par23_S99_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	244226.0	35.7 Mbp	0.0	35-150	52.0	10.944371197169835	145.9300238303866	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3455par23_S99_L004_R2_001_fastq_gz	3455par23_S99_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	244226.0	35.7 Mbp	0.0	35-150	52.0	13.030144210690098	145.99762924504353	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3456par23_S100_L001_R1_001_fastq_gz	3456par23_S100_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	420834.0	61.9 Mbp	0.0	35-150	50.0	9.676737145762937	146.7599124595446	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3456par23_S100_L001_R2_001_fastq_gz	3456par23_S100_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	420834.0	61.9 Mbp	0.0	35-150	50.0	12.070317512368298	146.81295950422256	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3456par23_S100_L002_R1_001_fastq_gz	3456par23_S100_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	393078.0	57.8 Mbp	0.0	35-150	50.0	9.792967299111117	146.77812037305574	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3456par23_S100_L002_R2_001_fastq_gz	3456par23_S100_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	393078.0	57.8 Mbp	0.0	35-150	50.0	12.465973674436116	146.85242114796554	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3456par23_S100_L003_R1_001_fastq_gz	3456par23_S100_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	436558.0	64.2 Mbp	0.0	35-150	51.0	9.486711960380982	146.81429958905804	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3456par23_S100_L003_R2_001_fastq_gz	3456par23_S100_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	436558.0	64.2 Mbp	0.0	35-150	50.0	11.71436555967363	146.85201279096935	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3456par23_S100_L004_R1_001_fastq_gz	3456par23_S100_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	402473.0	59.2 Mbp	0.0	35-150	50.0	9.710961977573652	146.73963967769268	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3456par23_S100_L004_R2_001_fastq_gz	3456par23_S100_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	402473.0	59.2 Mbp	0.0	35-150	50.0	12.365053059459889	146.8097313360151	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3457par23_S101_L001_R1_001_fastq_gz	3457par23_S101_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	637158.0	92.5 Mbp	0.0	35-150	51.0	8.7444558492556	144.89610897140113	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3457par23_S101_L001_R2_001_fastq_gz	3457par23_S101_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	637158.0	92.6 Mbp	0.0	35-150	51.0	10.733287504826118	144.96461474234022	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3457par23_S101_L002_R1_001_fastq_gz	3457par23_S101_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	598899.0	87 Mbp	0.0	35-150	51.0	8.893486213869116	145.00157789543812	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3457par23_S101_L002_R2_001_fastq_gz	3457par23_S101_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	598899.0	87.1 Mbp	0.0	35-150	51.0	11.02973957211483	145.07789460326364	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3457par23_S101_L003_R1_001_fastq_gz	3457par23_S101_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	658319.0	95.7 Mbp	0.0	35-150	51.0	8.63001067871351	145.01255470372266	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3457par23_S101_L003_R2_001_fastq_gz	3457par23_S101_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	658319.0	95.7 Mbp	0.0	35-150	51.0	10.381593118229917	145.0637715150254	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3457par23_S101_L004_R1_001_fastq_gz	3457par23_S101_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	613867.0	89.1 Mbp	0.0	35-150	51.0	8.811192000873154	144.91829663428723	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3457par23_S101_L004_R2_001_fastq_gz	3457par23_S101_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	613867.0	89.2 Mbp	0.0	35-150	51.0	10.929566176386741	144.98482896132225	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3458par23_S102_L001_R1_001_fastq_gz	3458par23_S102_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	757531.0	110.8 Mbp	0.0	35-150	57.0	5.284800225997352	145.9064157110402	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3458par23_S102_L001_R2_001_fastq_gz	3458par23_S102_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	757531.0	110.9 Mbp	0.0	35-150	57.0	7.138585747645972	145.99276597261365	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3458par23_S102_L002_R1_001_fastq_gz	3458par23_S102_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	715642.0	104.7 Mbp	0.0	35-150	57.0	5.353933950215331	146.00960256664646	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3458par23_S102_L002_R2_001_fastq_gz	3458par23_S102_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	715642.0	104.8 Mbp	0.0	35-150	57.0	7.335371596412732	146.1076809354398	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3458par23_S102_L003_R1_001_fastq_gz	3458par23_S102_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	790683.0	115.7 Mbp	0.0	35-150	58.0	5.171351856559456	146.01627833151844	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3458par23_S102_L003_R2_001_fastq_gz	3458par23_S102_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	790683.0	115.8 Mbp	0.0	35-150	57.0	6.782364107992709	146.0808035584425	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3458par23_S102_L004_R1_001_fastq_gz	3458par23_S102_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	730530.0	106.9 Mbp	0.0	35-150	57.0	5.245096026172779	145.95203345516268	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3458par23_S102_L004_R2_001_fastq_gz	3458par23_S102_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	730530.0	106.9 Mbp	0.0	35-150	57.0	7.2669158008569115	146.03543454752028	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3459par23_S103_L001_R1_001_fastq_gz	3459par23_S103_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	563361.0	83.4 Mbp	0.0	35-150	51.0	7.959017397370426	147.6505917165015	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3459par23_S103_L001_R2_001_fastq_gz	3459par23_S103_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	563361.0	83.4 Mbp	0.0	35-150	51.0	10.177133312387616	147.67147353118162	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3459par23_S103_L002_R1_001_fastq_gz	3459par23_S103_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	533665.0	79 Mbp	0.0	35-150	51.0	8.085222002567154	147.64055165693833	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3459par23_S103_L002_R2_001_fastq_gz	3459par23_S103_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	533665.0	79 Mbp	0.0	35-150	51.0	10.412337327724321	147.67937376444024	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3459par23_S103_L003_R1_001_fastq_gz	3459par23_S103_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	582076.0	86.1 Mbp	0.0	35-150	51.0	7.823377016059759	147.66801414248312	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3459par23_S103_L003_R2_001_fastq_gz	3459par23_S103_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	582076.0	86.2 Mbp	0.0	35-150	51.0	9.862801421120267	147.6942959338643	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3459par23_S103_L004_R1_001_fastq_gz	3459par23_S103_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	544951.0	80.6 Mbp	0.0	35-150	51.0	8.027510730322543	147.6358314784265	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3459par23_S103_L004_R2_001_fastq_gz	3459par23_S103_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	544951.0	80.6 Mbp	0.0	35-150	51.0	10.333773128226207	147.66304860436995	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3460par23_S104_L001_R1_001_fastq_gz	3460par23_S104_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	148635.0	17.2 Mbp	0.0	35-150	55.0	14.635180139267332	116.51769771588118	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3460par23_S104_L001_R2_001_fastq_gz	3460par23_S104_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	148635.0	17.3 Mbp	0.0	35-150	54.0	16.237090860160798	117.13870218992835	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3460par23_S104_L002_R1_001_fastq_gz	3460par23_S104_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	138559.0	16.1 Mbp	0.0	35-150	55.0	14.759777423335906	116.8840854798317	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
3460par23_S104_L002_R2_001_fastq_gz	3460par23_S104_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	138559.0	16.2 Mbp	0.0	35-150	54.0	16.71850980448762	117.6307277044436	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3460par23_S104_L003_R1_001_fastq_gz	3460par23_S104_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	151795.0	17.7 Mbp	0.0	35-150	55.0	14.32985276194868	117.193840376824	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3460par23_S104_L003_R2_001_fastq_gz	3460par23_S104_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	151795.0	17.8 Mbp	0.0	35-150	55.0	15.947165585164203	117.78607991040548	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3460par23_S104_L004_R1_001_fastq_gz	3460par23_S104_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	142905.0	16.6 Mbp	0.0	35-150	55.0	14.643294496343726	116.76161086036178	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3460par23_S104_L004_R2_001_fastq_gz	3460par23_S104_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	142905.0	16.7 Mbp	0.0	35-150	54.0	16.597739757181344	117.4421188901718	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3461par23_S105_L001_R1_001_fastq_gz	3461par23_S105_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	195677.0	18.4 Mbp	0.0	35-150	52.0	18.527471291976063	94.22320456670943	pass	pass	pass	pass	fail	fail	warn	warn	fail	warn	pass
3461par23_S105_L001_R2_001_fastq_gz	3461par23_S105_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	195677.0	18.7 Mbp	0.0	35-150	51.0	20.97282767008897	95.79163110636406	pass	pass	pass	pass	fail	fail	warn	warn	fail	warn	pass
3461par23_S105_L002_R1_001_fastq_gz	3461par23_S105_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	181944.0	17.1 Mbp	0.0	35-150	52.0	18.88383238798751	94.53801719210307	pass	pass	pass	pass	fail	fail	warn	warn	fail	warn	pass
3461par23_S105_L002_R2_001_fastq_gz	3461par23_S105_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	181944.0	17.4 Mbp	0.0	35-150	51.0	21.359319351009102	96.14760585674713	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
3461par23_S105_L003_R1_001_fastq_gz	3461par23_S105_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	200204.0	18.9 Mbp	0.0	35-150	52.0	18.54208707118739	94.6440680505884	pass	pass	pass	pass	fail	fail	warn	warn	fail	warn	pass
3461par23_S105_L003_R2_001_fastq_gz	3461par23_S105_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	200204.0	19.2 Mbp	0.0	35-150	52.0	20.455135761523245	96.034205110787	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
3461par23_S105_L004_R1_001_fastq_gz	3461par23_S105_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	188054.0	17.7 Mbp	0.0	35-150	52.0	18.603167175385792	94.22135131398429	pass	pass	pass	pass	fail	fail	warn	warn	fail	warn	pass
3461par23_S105_L004_R2_001_fastq_gz	3461par23_S105_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	188054.0	17.9 Mbp	0.0	35-150	51.0	21.041828410988334	95.69692216065599	pass	pass	pass	pass	fail	fail	warn	warn	fail	warn	pass
3462par23_S106_L001_R1_001_fastq_gz	3462par23_S106_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	367252.0	52.9 Mbp	0.0	35-150	54.0	9.614106934747802	143.784570267827	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3462par23_S106_L001_R2_001_fastq_gz	3462par23_S106_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	367252.0	52.9 Mbp	0.0	35-150	53.0	13.667182207312688	143.98789387123827	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3462par23_S106_L002_R1_001_fastq_gz	3462par23_S106_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	345597.0	49.8 Mbp	0.0	35-150	54.0	9.757607849605176	143.92949591576317	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3462par23_S106_L002_R2_001_fastq_gz	3462par23_S106_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	345597.0	49.9 Mbp	0.0	35-150	53.0	13.715975543769188	144.14484500733514	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3462par23_S106_L003_R1_001_fastq_gz	3462par23_S106_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	380182.0	54.8 Mbp	0.0	35-150	54.0	9.591721859530436	143.88204333713853	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3462par23_S106_L003_R2_001_fastq_gz	3462par23_S106_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	380182.0	54.8 Mbp	0.0	35-150	53.0	12.988516026534661	144.03899711190957	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3462par23_S106_L004_R1_001_fastq_gz	3462par23_S106_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	355019.0	51.1 Mbp	0.0	35-150	54.0	9.696945797267189	143.8267416673474	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3462par23_S106_L004_R2_001_fastq_gz	3462par23_S106_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	355019.0	51.2 Mbp	0.0	35-150	53.0	13.64293178674944	144.02511696557085	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
