Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3480par23_L00_R1_fq_gz	90.46796754658658	47.0	150.0	30.0	1521233.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3480par23_L00_R2_fq_gz	91.32870387138125	48.0	150.0	30.0	1521233.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3514par23_L00_R1_fq_gz	94.44803954358012	52.0	150.0	30.0	4553348.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3514par23_L00_R2_fq_gz	94.84042584257419	52.0	150.0	30.0	4553348.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3515par23_L00_R1_fq_gz	92.83031128036619	54.0	150.0	30.0	1215785.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3515par23_L00_R2_fq_gz	92.95681391035421	54.0	150.0	30.0	1215785.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3516par23_L00_R1_fq_gz	93.81925762658308	52.0	150.0	30.0	3982936.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3516par23_L00_R2_fq_gz	94.18560156067169	52.0	150.0	30.0	3982936.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3517par23_L00_R1_fq_gz	93.86447656312735	54.0	150.0	30.0	2132595.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3517par23_L00_R2_fq_gz	94.41736284218076	54.0	150.0	30.0	2132595.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3518par23_L00_R1_fq_gz	92.57245883080033	52.0	150.0	30.0	2694957.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3518par23_L00_R2_fq_gz	93.37262979579205	52.0	150.0	30.0	2694957.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3519par23_L00_R1_fq_gz	93.4196237951937	50.0	150.0	30.0	4187619.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3519par23_L00_R2_fq_gz	93.96926823751554	51.0	150.0	30.0	4187619.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3520par23_L00_R1_fq_gz	92.4752562049943	50.0	150.0	30.0	3026002.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3520par23_L00_R2_fq_gz	93.46972523357712	50.0	150.0	40.0	3026002.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3521par23_L00_R1_fq_gz	91.23409888553854	53.0	150.0	30.0	1999236.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3521par23_L00_R2_fq_gz	92.19172797458894	53.0	150.0	30.0	1999236.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3522par23_L00_R1_fq_gz	71.24000743632645	51.0	150.0	30.0	16137.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3522par23_L00_R2_fq_gz	72.78924211439548	52.0	150.0	30.0	16137.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3523par23_L00_R1_fq_gz	92.01145102240356	53.0	150.0	30.0	780367.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3523par23_L00_R2_fq_gz	92.31707645248966	54.0	150.0	30.0	780367.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3524par23_L00_R1_fq_gz	92.75187735090782	51.0	150.0	30.0	2243929.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3524par23_L00_R2_fq_gz	93.32092369699448	51.0	150.0	20.0	2243929.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3525par23_L00_R1_fq_gz	75.91255530356545	44.0	150.0	60.0	134485.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3525par23_L00_R2_fq_gz	78.37007844741049	43.0	150.0	60.0	134485.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3526par23_L00_R1_fq_gz	92.72108139890797	49.0	150.0	20.0	2619931.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3526par23_L00_R2_fq_gz	93.37570182872795	49.0	150.0	20.0	2619931.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3578par23_L00_R1_fq_gz	93.98563998214722	51.0	150.0	20.0	5046022.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3578par23_L00_R2_fq_gz	94.79347976120133	50.0	150.0	20.0	5046022.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3579par23_L00_R1_fq_gz	91.67909847720198	51.0	150.0	20.0	2505392.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3579par23_L00_R2_fq_gz	92.69070984438247	51.0	150.0	20.0	2505392.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3580par23_L00_R1_fq_gz	90.93066469300663	52.0	150.0	30.0	635030.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3580par23_L00_R2_fq_gz	91.45741146087586	52.0	150.0	30.0	635030.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3581par23_L00_R1_fq_gz	94.64166742655917	50.0	150.0	20.0	6040529.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3581par23_L00_R2_fq_gz	95.18236670090212	50.0	150.0	30.0	6040529.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3582par23_L00_R1_fq_gz	92.79388146779348	51.0	150.0	20.0	1149426.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3582par23_L00_R2_fq_gz	93.10838627280052	51.0	150.0	20.0	1149426.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3583par23_L00_R1_fq_gz	90.04230430664212	50.0	150.0	20.0	2289767.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3583par23_L00_R2_fq_gz	91.06037332298764	50.0	150.0	30.0	2289767.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3584par23_L00_R1_fq_gz	92.51882297870014	53.0	150.0	30.0	1340493.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3584par23_L00_R2_fq_gz	93.22152372298848	52.0	150.0	30.0	1340493.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3585par23_L00_R1_fq_gz	93.42401778671567	52.0	150.0	20.0	2431578.0
202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3585par23_L00_R2_fq_gz	93.90577634400314	52.0	150.0	20.0	2431578.0
