Module	Section	Sample Name	Source
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3580par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_72/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3522par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_58/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3458par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_15/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3585par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_81/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3578par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_67/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3462par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_24/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3582par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_76/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_2412qcpar23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_3/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3477par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_33/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3460par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_19/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3514par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_42/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3526par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_66/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3582par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_75/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3476par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_32/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3459par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_18/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3514par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_41/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3474par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_27/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3455par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_9/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3518par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_50/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3478par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_36/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3454par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_8/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_1640qcpar23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_83/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3579par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_69/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3480par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_40/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3473par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_26/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3583par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_78/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3478par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_35/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3515par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_44/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3455par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_10/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3583par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_77/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3477par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_34/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_2412qcpar23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_4/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3515par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_43/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3475par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_29/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3519par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_52/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3479par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_38/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3524par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_61/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3474par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_28/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3519par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_51/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3479par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_37/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3523par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_60/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3516par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_46/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_1605qcpar23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_0/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3521par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_55/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3456par23_L00_R2_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_12/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3584par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_79/fastqc_data.txt
FastQC	all_sections	202310171356_221101001_2P230725071US2S2676BX_A_parseqvalidation_3516par23_L00_R1_fq_gz	/corral4/main/jobs/053/991/53991844/working/multiqc_WDir/fastqc_0/data_0/file_45/fastqc_data.txt
